Name,RA,Dec,Beam,BPA,Speak,RMS
NGC410,01:10:58.91,33:09:07.1,0.18x0.13,-82.6,0.72+-0.01,11.1
NGC488,01:21:46.80,05:15:24.6,0.22x0.14,-58.3,0.14+-0.01,10.7
NGC521,01:24:33.77,01:43:52.9,0.23x0.14,-53.3,0.34+-0.01,10.6
NGC660,01:43:02.32,13:38:44.9,0.21x0.14,-66.2,62.80+-0.12,9.0
NGC777,02:00:14.91,31:25:45.9,0.22x0.13,-76.4,0.53+-0.01,10.7
NGC841,02:11:17.37,37:29:49.7,0.21x0.13,-79.9,0.06+-0.01,7.8
NGC1055,02:41:45.20,00:26:38.1,0.29x0.14,-54.4,0.18+-0.01,10.6
NGC1169,03:03:34.74,46:23:11.1,0.23x0.13,-81.0,0.36+-0.01,9.8
NGC1961,05:42:04.65,69:22:42.4,0.26x0.13,72.8,0.50+-0.01,9.5
NGC2681,08:53:32.72,51:18:49.2,0.17x0.14,-87.2,0.34+-0.01,9.6
NGC2683,08:52:41.30,33:25:18.7,0.19x0.13,65.6,0.45+-0.01,10.8
NGC2832,09:19:46.85,33:44:59.0,0.17x0.13,67.5,0.20+-0.01,9.2
NGC2859,09:24:18.53,34:30:48.6,0.17x0.13,65.2,0.05+-0.01,8.9
NGC2985,09:50:22.18,72:16:44.2,0.18x0.14,-46.0,1.14+-0.01,12.3
NGC3642,11:22:17.90,59:04:28.3,0.15x0.12,15.0,0.78+-0.01,10.5
NGC3735,11:35:57.22,70:32:07.8,0.16x0.12,9.4,0.39+-0.01,9.7
NGC3898,11:49:15.24,56:05:04.3,0.14x0.12,20.2,0.21+-0.01,9.0
NGC3982,11:56:28.14,55:07:30.9,0.14x0.12,22.0,0.56+-0.01,10.2
NGC3992,11:57:35.96,53:22:29.0,0.14x0.12,25.5,0.17+-0.01,9.9
NGC4036,12:01:26.75,61:53:44.6,0.15x0.12,10.6,0.60+-0.01,11.6
NGC4051,12:03:09.61,44:31:52.7,0.13x0.12,-31.6,0.48+-0.01,12.3
NGC4111,12:07:03.13,43:03:56.3,0.13x0.12,-31.4,0.19+-0.01,12.1
NGC4145,12:10:01.56,39:53:00.9,0.14x0.12,-32.7,0.09+-0.01,9.2
NGC4346,12:23:27.96,46:59:37.6,0.14x0.12,-32.6,0.06+-0.01,8.3
NGC4395,12:25:48.88,33:32:48.7,0.13x0.12,-17.9,0.17+-0.01,11.1
NGC4750,12:50:07.32,72:52:28.6,0.17x0.12,15.6,0.86+-0.01,12.5
NGC5194,13:29:52.71,47:11:42.8,0.26x0.15,70.5,0.25+-0.01,14.2
NGC5195,13:29:59.53,47:15:58.3,0.27x0.14,69.5,0.25+-0.01,14.3
NGC5273,13:42:08.38,35:39:15.5,0.24x0.14,67.5,0.19+-0.01,12.0
NGC5395,13:58:37.96,37:25:28.2,0.23x0.13,67.2,0.11+-0.01,12.3
NGC5448,14:02:50.05,49:10:21.2,0.25x0.14,71.8,0.06+-0.01,12.3
NGC5485,14:07:11.35,55:00:06.0,0.22x0.15,80.4,0.56+-0.01,13.1
NGC5566,14:20:19.89,03:56:01.4,0.28x0.13,48.6,1.40+-0.01,29.3
NGC5631,14:26:33.29,56:34:57.4,0.17x0.14,-86.1,0.64+-0.01,11.8
NGC5746,14:44:55.98,01:57:18.1,0.28x0.13,46.5,1.35+-0.02,22.6
NGC5850,15:07:07.68,01:32:39.3,0.25x0.13,45.4,0.10+-0.01,11.1
NGC5921,15:21:56.49,05:04:14.3,0.22x0.13,44.2,0.13+-0.01,11.7
NGC5985,15:39:37.06,59:19:55.2,0.21x0.15,-86.4,0.53+-0.01,11.6
NGC6340,17:10:24.84,72:18:15.9,0.19x0.12,-41.8,0.59+-0.01,10.2
NGC6482,17:51:48.83,23:04:18.9,0.14x0.14,34.5,0.42+-0.01,9.0
NGC6703,18:47:18.82,45:33:02.3,0.14x0.12,-20.7,0.63+-0.01,9.2
NGC6951,20:37:14.12,66:06:20.0,0.16x0.12,24.0,0.26+-0.01,11.2
NGC7814,00:03:14.90,16:08:43.2,0.16x0.14,-77.3,1.19+-0.01,9.5
IC356,04:07:46.89,69:48:44.7,0.25x0.13,-81.8,1.28+-0.01,16.2
IC520,08:53:42.25,73:29:27.4,0.20x0.13,-60.1,0.15+-0.01,9.3
